0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
00510145.7,00510229.1,00510312.4,00510395.5,00510478.6,00550156.3,00545033.1,00540920.8,00537568.9,00534802.5,00538087.4,00545737.5,00546012.2,00545568.9,00544920.5,00525883.2,00539931.2,00542604.7,00543738.4,00544334.3
00285627.5,00285449.9,00285272.5,00285095.4,00284918.4,00405296.5,00401045.1,00396889.1,00392833.9,00388881.5,00404363.1,00381256.3,00368196.3,00359490.0,00353068.0,00398549.0,00379934.3,00368159.0,00358803.6,00351052.5
-0015847.2,-0015834.7,-0015822.3,-0015809.9,-0015797.5,-0793246.1,-0717061.4,-0654314.5,-0601737.9,-0557043.9,00289615.2,-0292894.8,-0344258.7,-0355152.2,-0355810.8,00537045.6,-0047873.6,-0144834.0,-0181674.5,-0199997.5
-0000953.4,-0000956.1,-0000958.8,-0000961.5,-0000964.2,00000085.2,-0000101.4,-0000258.2,-0000391.8,-0000507.1,-0000849.4,-0001080.1,-0000999.1,-0000952.1,-0000929.4,00000939.9,-0000727.9,-0000988.8,-0001080.4,-0001122.6
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,-0119925.5,-0115931.7,-0112024.1,-0108209.2,-0104490.1,-0116787.8,-0063489.4,-0034780.8,-0016844.9,-0004548.6,-0090584.4,-0049760.7,-0030998.3,-0017077.0,-0005973.8
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00778265.7,00702576.9,00640238.7,00588004.7,00543602.1,-1488490.3,-0259566.8,-0129576.5,-0084465.3,-0061673.9,-1029309.9,-0349513.3,-0234372.7,-0187697.3,-0162103.4
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,-0001947.3,-0001694.4,-0001482.8,-0001302.8,-0001148.0,-0000150.6,00000627.2,00000398.7,00000226.8,00000107.0,-0006112.9,-0001549.2,-0000806.2,-0000536.9,-0000412.3
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,-0002201.9,-0034854.1,-0051849.0,-0061958.2,-0068468.2,-0040044.9,-0063157.4,-0061050.5,-0057614.5,-0054307.1
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,01209601.3,00549401.1,00469357.2,00434676.4,00412330.3,-0599876.3,-0105324.9,-0017940.1,00016687.2,00034857.6
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,-0001032.1,-0001602.8,-0001449.3,-0001313.1,-0001202.5,00004508.2,00001559.7,00000958.9,00000680.0,00000514.5
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00017447.8,00016307.8,00005698.9,-0003521.3,-0011189.3
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,01128768.8,00514915.2,00405120.1,00358945.3,00332572.0
00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,00000000.0,-0001385.2,-0001435.5,-0001344.3,-0001257.2,-0001181.7
